id;name;skillTopicId
155;File imports;37
156;Lint to;38
157;Scroll to;38
158;Basics;39
159;Variables;39
160;Variants;39
161;Hover and active state;39
162;CMS pages;40
163;CMS lists;40
164;Import csv;40
165;Relational databases;40
166;Basics;41
167;CMS localization;41
168;Transition effects;42
169;Appear effects;42
170;Scroll animation;42
171;Figma copy paste;43
172;Chrome extension;43
173;Forms;44
174;Icons;44
175;Ticker;44
176;Slideshow;44
177;Carousel;44
178;Code Block;44
179;Creative components;44
180;Rendering;45
181;Props;45
182;useState and useEffect;46
183;State Management;46
184;Server-side vs Client-side;47
185;Project strucure and naming conventions;47
186;Image component;52
187;Image render options;52
188;Login component;53
189;Profile component;53
190;Organization Ids;54
191;Installation;55
192;Editor Setup;55
193;Using with Preprocessors;55
194;Optimizing for Production;55
195;Browser Support;55
196;Upgrade Guide;55
197;Utility-First Fundamentals;56
198;Hover, Focus, and Other States;56
199;Responsive Design;56
200;Dark Mode;56
201;Reusing Styles;56
202;Adding Custom Styles;56
203;Functions & Directives;56
204;Configuration;57
205;Content;57
206;Theme;57
207;Screens;57
208;Colors;57
209;Spacing;57
210;Plugins;57
211;Presets;57
212;Preflight;58
213;Aspect Ratio;59
214;Container;59
215;Columns;59
216;Break After;59
217;Break Before;59
218;Break Inside;59
219;Box Decoration Break;59
220;Box Sizing;59
221;Display;59
222;Floats;59
223;Clear;59
224;Isolation;59
225;Object Fit;59
226;Object Position;59
227;Overflow;59
228;Overscroll Behavior;59
229;Position;59
230;Top / Right / Bottom / Left;59
231;Visibility;59
232;Z-Index;59
233;Flex Basis;60
234;Flex Direction;60
235;Flex Wrap;60
236;Flex;60
237;Flex Grow;60
238;Flex Shrink;60
239;Order;60
240;Grid Template Columns;60
241;Grid Column Start / End;60
242;Grid Template Rows;60
243;Grid Row Start / End;60
244;Grid Auto Flow;60
245;Grid Auto Columns;60
246;Grid Auto Rows;60
247;Gap;60
248;Justify Content;60
249;Justify Items;60
250;Justify Self;60
251;Align Content;60
252;Align Items;60
253;Align Self;60
254;Place Content;60
255;Place Items;60
256;Place Self;60
257;Padding;61
258;Margin;61
259;Space Between;61
260;Width;62
261;Min-Width;62
262;Max-Width;62
263;Height;62
264;Min-Height;62
265;Max-Height;62
266;Size;62
267;Font Family;63
268;Font Size;63
269;Font Smoothing;63
270;Font Style;63
271;Font Weight;63
272;Font Variant Numeric;63
273;Letter Spacing;63
274;Line Clamp;63
275;Line Height;63
276;List Style Image;63
277;List Style Position;63
278;List Style Type;63
279;Text Align;63
280;Text Color;63
281;Text Decoration;63
282;Text Decoration Color;63
283;Text Decoration Style;63
284;Text Decoration Thickness;63
285;Text Underline Offset;63
286;Text Transform;63
287;Text Overflow;63
288;Text Wrap;63
289;Text Indent;63
290;Vertical Align;63
291;Whitespace;63
292;Word Break;63
293;Hyphens;63
294;Content;63
295;Background Attachment;64
296;Background Clip;64
297;Background Color;64
298;Background Origin;64
299;Background Position;64
300;Background Repeat;64
301;Background Size;64
302;Background Image;64
303;Gradient Color Stops;64
304;Border Radius;65
305;Border Width;65
306;Border Color;65
307;Border Style;65
308;Divide Width;65
309;Divide Color;65
310;Divide Style;65
311;Outline Width;65
312;Outline Color;65
313;Outline Style;65
314;Outline Offset;65
315;Ring Width;65
316;Ring Color;65
317;Ring Offset Width;65
318;Ring Offset Color;65
319;Box Shadow;66
320;Box Shadow Color;66
321;Opacity;66
322;Mix Blend Mode;66
323;Background Blend Mode;66
324;Blur;67
325;Brightness;67
326;Contrast;67
327;Drop Shadow;67
328;Grayscale;67
329;Hue Rotate;67
330;Invert;67
331;Saturate;67
332;Sepia;67
333;Backdrop Blur;67
334;Backdrop Brightness;67
335;Backdrop Contrast;67
336;Backdrop Grayscale;67
337;Backdrop Hue Rotate;67
338;Backdrop Invert;67
339;Backdrop Opacity;67
340;Backdrop Saturate;67
341;Backdrop Sepia;67
342;Border Collapse;68
343;Border Spacing;68
344;Table Layout;68
345;Caption Side;68
346;Transition Property;69
347;Transition Duration;69
348;Transition Timing Function;69
349;Transition Delay;69
350;Animation;69
351;Scale;70
352;Rotate;70
353;Translate;70
354;Skew;70
355;Transform Origin;70
356;Accent Color;71
357;Appearance;71
358;Cursor;71
359;Caret Color;71
360;Pointer Events;71
361;Resize;71
362;Scroll Behavior;71
363;Scroll Margin;71
364;Scroll Padding;71
365;Scroll Snap Align;71
366;Scroll Snap Stop;71
367;Scroll Snap Type;71
368;Touch Action;71
369;User Select;71
370;Will Change;71
371;Fill;72
372;Stroke;72
373;Stroke Width;72
374;Screen Readers;73
375;Forced Color Adjust;73
376;Typography;74
377;Forms;74
378;Aspect Ratio;74
379;Container Queries;74
380;Introduction;75
381;Prisma ORM in your stack;75
382;Databases;75
383;Overview;76
384;Data model;76
385;Introspection;76
386;PostgreSQL extensionsPreview;76
387;Setup & configuration;77
388;Queries;77
389;Fields & types;77
390;Extensions;77
391;Type safety;77
392;Testing;77
393;Deployment;77
394;Observability & logging;77
395;Debugging & troubleshooting;77
396;Getting started;78
397;Understanding Prisma Migrate;78
398;Workflows;78
399;Prisma CLI;79
400;Prisma Studio;79
401;REFERENCE;79
402;Prisma Client API;79
403;Prisma Schema;79
404;Prisma CLI;79
405;Errors;79
406;Environment variables;79
407;Database features matrix;79
408;Supported databases;79
409;Connection URLs;79
410;System requirements;79
411;Preview features;79
412;Under the hood;80
413;Upgrade guides;80
414;Comparing Prisma ORM;80
415;Migrate to Prisma ORM;80
416;Development environment;80
417;Help & troubleshooting;80
418;ORM releases and maturity levels;80
419;Download and install Obsidian;81
420;Create a vault;81
421;Create your first note;81
422;Link notes;81
423;Sync your notes across devices;82
424;Update Obsidian;82
425;Glossary;82
426;Use the mobile app;82
427;Import notes;82
428;Import from Apple Notes;82
429;Import from Bear;82
430;Import from Evernote;82
431;Import from Google Keep;82
432;Import from Microsoft OneNote;82
433;Import from Notion;82
434;Import from Roam Research;82
435;Import HTML files;82
436;Import Markdown files;82
437;Import Zettelkasten notes;82
438;Appearance;83
439;Drag and drop;83
440;Hotkeys;83
441;Language settings;83
442;Pop-out windows;83
443;Ribbon;83
444;Sidebar;83
445;Status bar;83
446;Tabs;83
447;Workspace;83
448;Basic formatting syntax;84
449;Advanced formatting syntax;84
450;Obsidian Flavored Markdown;84
451;Tags;84
452;Attachments;84
453;Callouts;84
454;Folding;84
455;Multiple cursors;84
456;Properties;84
457;Edit and preview Markdown;84
458;Editing shortcuts;84
459;Embed web pages;84
460;HTML content;84
461;Internal links;85
462;Aliases;85
463;Embed files;85
464;Accepted file formats;86
465;Configuration folder;86
466;How Obsidian stores data;86
467;Manage notes;86
468;Manage vaults;86
469;Symbolic links and junctions;86
470;Core plugins;87
471;Audio recorder;87
472;Backlinks;87
473;Bookmarks;87
474;Canvas;87
475;Command palette;87
476;Daily notes;87
477;File explorer;87
478;File recovery;87
479;Format converter;87
480;Graph view;87
481;Importer;87
482;Note composer;87
483;Outgoing links;87
484;Outline;87
485;Page preview;87
486;Properties view;87
487;Quick switcher;87
488;Random note;87
489;Search;87
490;Slash commands;87
491;Slides;87
492;Templates;87
493;Unique note creator;87
494;Word count;87
495;Workspaces;87
496;Tags view;87
497;Introduction to Obsidian Publish;88
498;Publish and unpublish notes;88
499;Manage sites;88
500;Customize your site;88
501;Security and privacy;88
502;Set up a custom domain;88
503;Set up Google Analytics;88
504;Set up Obsidian Publish;88
505;Social media link previews;88
506;Collaborate on a Publish site;88
507;Media files;88
508;Publish limitations;88
509;Redirect old notes;88
510;Introduction to Obsidian Sync;89
511;Set up Obsidian Sync;89
512;Set up Obsidian Sync on another device;89
513;Select files and settings to sync;89
514;Local and remote vaults;89
515;Security and privacy;89
516;Troubleshoot Obsidian Sync;89
517;Version history;89
518;Back up your vault;89
519;Collaborate on a shared vault;89
520;Plans and storage limits;89
521;Sync limitations;89
522;Community plugins;90
523;Themes;90
524;CSS snippets;90
525;Plugin security;90
526;Obsidian URI;90
527;Introduction to HTML;91
528;Introduction to HTML overview;91
529;Getting started with HTML;91
530;What's in the head? Metadata in HTML;91
531;HTML text fundamentals;91
532;Creating hyperlinks;91
533;Advanced text formatting;91
534;Document and website structure;91
535;Debugging HTML;91
536;Assessment: Marking up a letter;91
537;Assessment: Structuring a page of content;91
538;Multimedia and embedding overview;92
539;Images in HTML;92
540;Video and audio content;92
541;From object to iframe — other embedding technologies;92
542;Adding vector graphics to the web;92
543;Responsive images;92
544;Assessment: Mozilla splash page;92
545;HTML tables overview;93
546;HTML table basics;93
547;HTML table advanced features and accessibility;93
548;Assessment: Structuring planet data;93
549;<a>;94
550;<abbr>;94
551;<acronym> (Deprecated);94
552;<address>;94
553;<area>;94
554;<article>;94
555;<aside>;94
556;<audio>;94
557;<b>;94
558;<base>;94
559;<bdi>;94
560;<bdo>;94
561;<big> (Deprecated);94
562;<blockquote>;94
563;<body>;94
564;<br>;94
565;<button>;94
566;<canvas>;94
567;<caption>;94
568;<center> (Deprecated);94
569;<cite>;94
570;<code>;94
571;<col>;94
572;<colgroup>;94
573;<data>;94
574;<datalist>;94
575;<dd>;94
576;<del>;94
577;<details>;94
578;<dfn>;94
579;<dialog>;94
580;<dir> (Deprecated);94
581;<div>;94
582;<dl>;94
583;<dt>;94
584;<em>;94
585;<embed>;94
586;<fencedframe> (Experimental);94
587;<fieldset>;94
588;<figcaption>;94
589;<figure>;94
590;<font> (Deprecated);94
591;<footer>;94
592;<form>;94
593;<frame> (Deprecated);94
594;<frameset> (Deprecated);94
595;<h1>;94
596;<head>;94
597;<header>;94
598;<hgroup>;94
599;<hr>;94
600;<html>;94
601;<i>;94
602;<iframe>;94
603;<img>;94
604;<input>;94
605;<ins>;94
606;<kbd>;94
607;<label>;94
608;<legend>;94
609;<li>;94
610;<link>;94
611;<main>;94
612;<map>;94
613;<mark>;94
614;<marquee> (Deprecated);94
615;<menu>;94
616;<menuitem> (Non-standard, Deprecated);94
617;<meta>;94
618;<meter>;94
619;<nav>;94
620;<nobr> (Deprecated);94
621;<noembed> (Deprecated);94
622;<noframes> (Deprecated);94
623;<noscript>;94
624;<object>;94
625;<ol>;94
626;<optgroup>;94
627;<option>;94
628;<output>;94
629;<p>;94
630;<param> (Deprecated);94
631;<picture>;94
632;<plaintext> (Deprecated);94
633;<portal> (Experimental);94
634;<pre>;94
635;<progress>;94
636;<q>;94
637;<rb> (Deprecated);94
638;<rp>;94
639;<rt>;94
640;<rtc> (Deprecated);94
641;<ruby>;94
642;<s>;94
643;<samp>;94
644;<script>;94
645;<search>;94
646;<section>;94
647;<select>;94
648;<slot>;94
649;<small>;94
650;<source>;94
651;<span>;94
652;<strike> (Deprecated);94
653;<strong>;94
654;<style>;94
655;<sub>;94
656;<summary>;94
657;<sup>;94
658;<table>;94
659;<tbody>;94
660;<td>;94
661;<template>;94
662;<textarea>;94
663;<tfoot>;94
664;<th>;94
665;<thead>;94
666;<time>;94
667;<title>;94
668;<tr>;94
669;<track>;94
670;<tt> (Deprecated);94
671;<u>;94
672;<ul>;94
673;<var>;94
674;<video>;94
675;<wbr>;94
676;<xmp> (Deprecated);94
677;accesskey;95
678;autocapitalize;95
679;autofocus;95
680;class;95
681;contenteditable;95
682;contextmenu (Non-standard, Deprecated);95
683;data-*;95
684;dir;95
685;draggable;95
686;enterkeyhint;95
687;exportparts;95
688;hidden;95
689;id;95
690;inert;95
691;inputmode;95
692;is;95
693;itemid;95
694;itemprop;95
695;itemref;95
696;itemscope;95
697;itemtype;95
698;lang;95
699;nonce;95
700;part;95
701;popover;95
702;slot;95
703;spellcheck;95
704;style;95
705;tabindex;95
706;title;95
707;translate;95
708;virtualkeyboardpolicy;95
709;Experimental;95
710;Attributes;95
711;accept;95
712;autocomplete;95
713;capture;95
714;crossorigin;95
715;dirname;95
716;disabled;95
717;elementtiming;95
718;for;95
719;max;95
720;maxlength;95
721;min;95
722;minlength;95
723;multiple;95
724;pattern;95
725;placeholder;95
726;readonly;95
727;rel;95
728;required;95
729;size;95
730;step;95
731;<input type='button'>;96
732;<input type='checkbox'>;96
733;<input type='color'>;96
734;<input type='date'>;96
735;<input type='datetime-local'>;96
736;<input type='email'>;96
737;<input type='file'>;96
738;<input type='hidden'>;96
739;<input type='image'>;96
740;<input type='month'>;96
741;<input type='number'>;96
742;<input type='password'>;96
743;<input type='radio'>;96
744;<input type='range'>;96
745;<input type='reset'>;96
746;<input type='search'>;96
747;<input type='submit'>;96
748;<input type='tel'>;96
749;<input type='text'>;96
750;<input type='time'>;96
751;<input type='url'>;96
752;<input type='week'>;96
753;Content categories;97
754;Block-level elements;97
755;Inline elements;97
756;Quirks Mode and Standards Mode;97
757;Date and time formats used in HTML;97
758;Constraint validation;97
759;Microdata;97
760;Microformats;97
761;Viewport meta tag;97
762;Allowing cross-origin use of images and canvas;97
